,Number of components,Type of covariance,BIC score
0,1,spherical,226006.94051415543
1,2,spherical,157582.06188010107
2,3,spherical,140781.0041464805
3,4,spherical,130936.81225973289
4,5,spherical,83220.59719569879
5,6,spherical,67531.63796697848
6,7,spherical,34427.546346843155
7,8,spherical,32550.955390264506
8,9,spherical,18661.38480462268
9,1,tied,-281169.50879584014
10,2,tied,-275151.04151534475
11,3,tied,-273780.1171969693
12,4,tied,-260281.49609232662
13,5,tied,-218338.08890963573
14,6,tied,-254001.15459655202
15,7,tied,-233751.19102473435
16,8,tied,-230581.47018448
17,9,tied,-180349.7051614366
18,1,diag,-311801.2873939922
19,2,diag,-303776.774008122
20,3,diag,-326766.0117102228
21,4,diag,-325044.44168894854
22,5,diag,-300415.67482212366
23,6,diag,-305035.52143483947
24,7,diag,-335448.59655262186
25,8,diag,-319498.23426368687
26,9,diag,-304226.2012143551
27,1,full,-281169.5087963507
28,2,full,-189904.72600217367
29,3,full,-76431.21266442002
30,4,full,99853.66661890056
31,5,full,165288.1660876882
32,6,full,143140.0731173865
33,7,full,128801.00099711977
34,8,full,143734.86625279518
35,9,full,314107.0767088487
